iter	Passed	Remaining
550	37237	30344
551	37302	30274
552	37368	30205
553	37434	30136
554	37506	30072
555	37567	30000
556	37634	29931
557	37700	29863
558	37769	29796
559	37839	29731
560	37905	29661
561	37975	29596
562	38046	29531
563	38105	29457
564	38180	29395
565	38248	29328
566	38315	29260
567	38378	29189
568	38446	29122
569	38512	29052
570	38572	28980
571	38633	28907
572	38696	28837
573	38768	28772
574	38835	28704
575	38898	28633
576	38963	28563
577	39030	28496
578	39094	28426
579	39156	28354
580	39221	28285
581	39289	28218
582	39353	28148
583	39413	28075
584	39481	28008
585	39543	27936
586	39606	27866
587	39665	27792
588	39724	27719
589	39802	27659
590	39869	27591
591	39950	27533
592	40023	27469
593	40090	27402
594	40157	27333
595	40236	27274
596	40315	27214
597	40385	27148
598	40446	27077
599	40510	27007
600	40571	26934
601	40635	26865
602	40701	26796
603	40767	26728
604	40837	26662
605	40898	26590
606	40962	26521
607	41032	26454
608	41093	26383
609	41159	26314
610	41230	26250
611	41293	26179
612	41354	26107
613	41417	26037
614	41475	25964
615	41538	25893
616	41603	25825
617	41674	25759
618	41758	25702
619	41830	25638
620	41907	25576
621	41974	25508
622	42055	25449
623	42118	25378
624	42186	25311
625	42255	25245
626	42319	25175
627	42380	25104
628	42450	25038
629	42513	24968
630	42576	24898
631	42639	24827
632	42701	24757
633	42766	24688
634	42833	24621
635	42899	24552
636	42965	24484
637	43027	24413
638	43098	24348
639	43160	24278
640	43228	24210
641	43295	24143
642	43359	24073
643	43428	24007
644	43494	23938
645	43563	23872
646	43628	23803
647	43696	23736
648	43760	23667
649	43823	23597
650	43883	23525
651	43944	23455
652	44008	23385
653	44070	23315
654	44138	23248
655	44201	23179
656	44266	23110
657	44336	23044
658	44398	22974
659	44458	22903
660	44519	22832
661	44584	22763
662	44651	22695
663	44716	22627
664	44782	22559
665	44849	22491
666	44911	22422
667	44979	22355
668	45043	22285
669	45106	22216
670	45174	22149
671	45243	22083
672	45311	22016
673	45378	21948
674	45446	21881
675	45515	21815
676	45581	21747
677	45645	21678
678	45708	21608
679	45777	21542
680	45838	21472
681	45897	21401
682	45963	21332
683	46032	21266
684	46102	21200
685	46173	21134
686	46240	21067
